TGL,Airline,delay,delay_normalized
2023-01-24,Batik Air,58.0,0.4927083333333333
2023-01-24,Garuda Indonesia,19.0,0.4520833333333333
2023-01-24,Citilink,26.0,0.459375
2023-01-24,NamAir,14.0,0.446875
2023-01-24,Lion Air,8.0,0.440625
2023-01-24,Garuda Indonesia,14.0,0.446875
2023-01-24,Wings Air,23.0,0.45625
2023-01-24,Batik Air,12.0,0.4447916666666666
2023-01-24,Lion Air,15.0,0.4479166666666667
2023-01-25,Citilink,178.0,0.6177083333333333
2023-01-25,Batik Air,37.0,0.4708333333333333
2023-01-25,,28.0,0.4614583333333333
2023-01-25,Wings Air,17.0,0.45
2023-01-25,Citilink,38.0,0.471875
2023-01-25,,80.0,0.515625
2023-01-25,Garuda Indonesia,20.0,0.453125
2023-01-25,Batik Air,66.0,0.5010416666666667
2023-01-25,Wings Air,26.0,0.459375
2023-01-25,Batik Air,19.0,0.4520833333333333
2023-01-25,Lion Air,11.0,0.44375
2023-01-25,Lion Air,6.0,0.4385416666666666
2023-01-25,Batik Air,2.0,0.434375
2023-01-25,Garuda Indonesia,10.0,0.4427083333333333
2023-01-25,My Indo Airlines,4.0,0.4364583333333333
2023-01-25,Wings Air,36.0,0.4697916666666666
2023-01-25,Wings Air,10.0,0.4427083333333333
2023-01-25,NamAir,14.0,0.446875
2023-01-25,Citilink,17.0,0.45
2023-01-25,Garuda Indonesia,5.0,0.4375
2023-01-25,Citilink,36.0,0.4697916666666666
2023-01-25,Lion Air,22.0,0.4552083333333333
2023-01-26,Citilink,246.0,0.6885416666666667
2023-01-26,Batik Air,4.0,0.4364583333333333
2023-01-26,Garuda Indonesia,22.0,0.4552083333333333
2023-01-26,,8.0,0.440625
2023-01-26,Citilink,59.0,0.49375
2023-01-26,,131.0,0.56875
2023-01-26,Batik Air,33.0,0.4666666666666667
2023-01-26,Wings Air,11.0,0.44375
2023-01-26,Batik Air,38.0,0.471875
2023-01-26,Batik Air,25.0,0.4583333333333333
2023-01-26,Lion Air,13.0,0.4458333333333333
2023-01-26,Batik Air,24.0,0.4572916666666666
2023-01-26,Wings Air,4.0,0.4364583333333333
2023-01-26,Garuda Indonesia,14.0,0.446875
2023-01-26,Lion Air,10.0,0.4427083333333333
2023-01-26,Lion Air,7.0,0.4395833333333333
2023-01-26,NamAir,23.0,0.45625
2023-01-26,Citilink,38.0,0.471875
2023-01-26,Garuda Indonesia,18.0,0.4510416666666667
2023-01-27,Batik Air,4.0,0.4364583333333333
2023-01-27,Citilink,33.0,0.4666666666666667
2023-01-27,,2.0,0.434375
2023-01-27,Garuda Indonesia,19.0,0.4520833333333333
2023-01-27,,14.0,0.446875
2023-01-27,Lion Air,12.0,0.4447916666666666
2023-01-27,Sriwijaya Air,17.0,0.45
2023-01-27,Lion Air,1.0,0.4333333333333333
2023-01-27,Citilink,50.0,0.484375
2023-01-27,,58.0,0.4927083333333333
2023-01-27,Batik Air,14.0,0.446875
2023-01-27,Citilink,25.0,0.4583333333333333
2023-01-27,Garuda Indonesia,6.0,0.4385416666666666
2023-01-27,Batik Air,25.0,0.4583333333333333
2023-01-27,Lion Air,7.0,0.4395833333333333
2023-01-27,Batik Air,26.0,0.459375
2023-01-27,Garuda Indonesia,7.0,0.4395833333333333
2023-01-27,Wings Air,14.0,0.446875
2023-01-27,Lion Air,9.0,0.4416666666666666
2023-01-27,Citilink,27.0,0.4604166666666666
2023-01-27,Wings Air,17.0,0.45
2023-01-28,Citilink,11.0,0.44375
2023-01-28,Citilink,24.0,0.4572916666666666
2023-01-28,Lion Air,34.0,0.4677083333333333
2023-01-28,Batik Air,21.0,0.4541666666666666
2023-01-28,Garuda Indonesia,10.0,0.4427083333333333
2023-01-28,,12.0,0.4447916666666666
2023-01-28,Batik Air,43.0,0.4770833333333333
2023-01-28,Batik Air,51.0,0.4854166666666666
2023-01-28,Batik Air,8.0,0.440625
2023-01-28,Wings Air,2.0,0.434375
2023-01-28,Lion Air,11.0,0.44375
2023-01-28,Batik Air,39.0,0.4729166666666666
2023-01-28,Garuda Indonesia,37.0,0.4708333333333333
2023-01-28,Citilink,26.0,0.459375
2023-01-28,Wings Air,3.0,0.4354166666666667
2023-01-28,Lion Air,25.0,0.4583333333333333
2023-01-28,Garuda Indonesia,11.0,0.44375
2023-01-28,Batik Air,7.0,0.4395833333333333
2023-01-28,Lion Air,12.0,0.4447916666666666
2023-01-28,Wings Air,23.0,0.45625
2023-01-29,Citilink,34.0,0.4677083333333333
2023-01-29,Batik Air,25.0,0.4583333333333333
2023-01-29,,16.0,0.4489583333333333
2023-01-29,Wings Air,10.0,0.4427083333333333
2023-01-29,Batik Air,3.0,0.4354166666666667
2023-01-29,Garuda Indonesia,13.0,0.4458333333333333
2023-01-29,Lion Air,10.0,0.4427083333333333
2023-01-29,Citilink,51.0,0.4854166666666666
2023-01-29,Batik Air,11.0,0.44375
2023-01-29,,19.0,0.4520833333333333
2023-01-29,Lion Air,23.0,0.45625
2023-01-29,Wings Air,27.0,0.4604166666666666
2023-01-29,Wings Air,10.0,0.4427083333333333
